page_name,text,likes,comments,shares,ad_url,screenshot,timestamp,is_successful,success_score,source
"Bring your ideas to life.
adobe.com","Sponsored
Bring your ideas to life.
adobe.com
Get the tools you need
shopify.com
Contacts
Meta AI
نسيم الكرم
Brahim Geniebio
Group chats
Create group chat",0,0,0,,ad_screenshots\ad_1_20260123_055253.png,2026-01-23 05:52:54,False,0,feed
"Bring your ideas to life.
adobe.com","Sponsored
Bring your ideas to life.
adobe.com
Get the tools you need
shopify.com
Contacts
Meta AI
نسيم الكرم
Brahim Geniebio
Group chats
Create group chat",0,0,0,,ad_screenshots\ad_2_20260123_055255.png,2026-01-23 05:52:56,False,0,feed
"Bring your ideas to life.
adobe.com","Sponsored
Bring your ideas to life.
adobe.com
Get the tools you need
shopify.com
Contacts
Meta AI
نسيم الكرم
Brahim Geniebio
Group chats
Create group chat",0,0,0,,ad_screenshots\ad_3_20260123_055257.png,2026-01-23 05:52:58,False,0,feed
"Bring your ideas to life.
adobe.com","Sponsored
Bring your ideas to life.
adobe.com
Get the tools you need
shopify.com
Contacts
Meta AI
نسيم الكرم
Brahim Geniebio
Group chats
Create group chat",0,0,0,,ad_screenshots\ad_4_20260123_055259.png,2026-01-23 05:53:00,False,0,feed
"Bring your ideas to life.
adobe.com","Sponsored
Bring your ideas to life.
adobe.com
Get the tools you need
shopify.com
Contacts
Meta AI
نسيم الكرم
Brahim Geniebio
Group chats
Create group chat",0,0,0,,ad_screenshots\ad_5_20260123_055301.png,2026-01-23 05:53:02,False,0,feed
